# Item descriptions - Korean translation (indexed by tile_num)
# Format: TILE_NUM|ENGLISH|KOREAN
# Reference: docs/ultima6/tileflag_data.txt

0|Nothing|아무것도 없음
1462|tangle vine|얽힌 덩굴
1463|tangle vine|얽힌 덩굴
1464|daemon|데몬
1465|daemon|데몬
1466|daemon|데몬
1467|daemon|데몬
1468|daemon|데몬
1469|daemon|데몬
1470|daemon|데몬
1471|daemon|데몬
1472|skeleton|해골
1473|skeleton|해골
1474|skeleton|해골
1475|skeleton|해골
1476|skeleton|해골
1477|skeleton|해골
1478|skeleton|해골
1479|skeleton|해골
1480|drake|드레이크
1481|drake|드레이크
1482|drake|드레이크
1483|drake|드레이크
1484|drake|드레이크
1485|drake|드레이크
1486|drake|드레이크
1487|drake|드레이크
1488|headless|머리없는 자
1489|headless|머리없는 자
1490|headless|머리없는 자
1491|headless|머리없는 자
1492|headless|머리없는 자
1493|headless|머리없는 자
1494|headless|머리없는 자
1495|headless|머리없는 자
1496|troll|트롤
1497|troll|트롤
1498|troll|트롤
1499|troll|트롤
1500|troll|트롤
1501|troll|트롤
1502|troll|트롤
1503|troll|트롤
1504|mongbat|몽뱃
1505|mongbat|몽뱃
1506|mongbat|몽뱃
1507|mongbat|몽뱃
1508|mongbat|몽뱃
1509|mongbat|몽뱃
1510|mongbat|몽뱃
1511|mongbat|몽뱃
1512|wisp|위습
1513|wisp|위습
1514|wisp|위습
1515|wisp|위습
1516|hydra|히드라
1517|hydra|히드라
1518|hydra|히드라
1519|hydra|히드라
1520|slime|슬라임
1521|slime|슬라임
1522|slime|슬라임
1523|slime|슬라임
1524|slime|슬라임
1525|slime|슬라임
1526|slime|슬라임
1527|slime|슬라임
1528|slime|슬라임
1529|slime|슬라임
1530|slime|슬라임
1531|slime|슬라임
1532|slime|슬라임
1533|slime|슬라임
1534|slime|슬라임
1535|slime|슬라임
1536|fighter|전사
1537|fighter|전사
1538|fighter|전사
1539|fighter|전사
1540|fighter|전사
1541|fighter|전사
1542|fighter|전사
1543|fighter|전사
1544|fighter|전사
1545|fighter|전사
1546|fighter|전사
1547|fighter|전사
1548|fighter|전사
1549|fighter|전사
1550|fighter|전사
1551|fighter|전사
1552|swashbuckler|검객
1553|swashbuckler|검객
1554|swashbuckler|검객
1555|swashbuckler|검객
1556|swashbuckler|검객
1557|swashbuckler|검객
1558|swashbuckler|검객
1559|swashbuckler|검객
1560|swashbuckler|검객
1561|swashbuckler|검객
1562|swashbuckler|검객
1563|swashbuckler|검객
1564|swashbuckler|검객
1565|swashbuckler|검객
1566|swashbuckler|검객
1567|swashbuckler|검객
1568|mage|마법사
1569|mage|마법사
1570|mage|마법사
1571|mage|마법사
1572|mage|마법사
1573|mage|마법사
1574|mage|마법사
1575|mage|마법사
1576|mage|마법사
1577|mage|마법사
1578|mage|마법사
1579|mage|마법사
1580|mage|마법사
1581|mage|마법사
1582|mage|마법사
1583|mage|마법사
1584|villager|마을 주민
1585|villager|마을 주민
1586|villager|마을 주민
1587|villager|마을 주민
1588|villager|마을 주민
1589|villager|마을 주민
1590|villager|마을 주민
1591|villager|마을 주민
1592|villager|마을 주민
1593|villager|마을 주민
1594|villager|마을 주민
1595|villager|마을 주민
1596|villager|마을 주민
1597|villager|마을 주민
1598|villager|마을 주민
1599|villager|마을 주민
1600|merchant|상인
1601|merchant|상인
1602|merchant|상인
1603|merchant|상인
1604|merchant|상인
1605|merchant|상인
1606|merchant|상인
1607|merchant|상인
1608|merchant|상인
1609|merchant|상인
1610|merchant|상인
1611|merchant|상인
1612|merchant|상인
1613|merchant|상인
1614|merchant|상인
1615|merchant|상인
1616|child|아이
1617|child|아이
1618|child|아이
1619|child|아이
1620|child|아이
1621|child|아이
1622|child|아이
1623|child|아이
1624|child|아이
1625|child|아이
1626|child|아이
1627|child|아이
1628|child|아이
1629|child|아이
1630|child|아이
1631|child|아이
1632|guard|경비병
1633|guard|경비병
1634|guard|경비병
1635|guard|경비병
1636|guard|경비병
1637|guard|경비병
1638|guard|경비병
1639|guard|경비병
1640|guard|경비병
1641|guard|경비병
1642|guard|경비병
1643|guard|경비병
1644|guard|경비병
1645|guard|경비병
1646|guard|경비병
1647|guard|경비병
1648|jester|광대
1649|jester|광대
1650|jester|광대
1651|jester|광대
1652|jester|광대
1653|jester|광대
1654|jester|광대
1655|jester|광대
1656|jester|광대
1657|jester|광대
1658|jester|광대
1659|jester|광대
1660|jester|광대
1661|jester|광대
1662|jester|광대
1663|jester|광대
1664|peasant|농부
1665|peasant|농부
1666|peasant|농부
1667|peasant|농부
1668|peasant|농부
1669|peasant|농부
1670|peasant|농부
1671|peasant|농부
1672|peasant|농부
1673|peasant|농부
1674|peasant|농부
1675|peasant|농부
1676|peasant|농부
1677|peasant|농부
1678|peasant|농부
1679|peasant|농부
1680|farmer|농부
1681|farmer|농부
1682|farmer|농부
1683|farmer|농부
1684|farmer|농부
1685|farmer|농부
1686|farmer|농부
1687|farmer|농부
1688|farmer|농부
1689|farmer|농부
1690|farmer|농부
1691|farmer|농부
1692|farmer|농부
1693|farmer|농부
1694|farmer|농부
1695|farmer|농부
1696|musician|음악가
1697|musician|음악가
1698|musician|음악가
1699|musician|음악가
1700|musician|음악가
1701|musician|음악가
1702|musician|음악가
1703|musician|음악가
1704|musician|음악가
1705|musician|음악가
1706|musician|음악가
1707|musician|음악가
1708|musician|음악가
1709|musician|음악가
1710|musician|음악가
1711|musician|음악가
1712|woman|여인
1713|woman|여인
1714|woman|여인
1715|woman|여인
1716|woman|여인
1717|woman|여인
1718|woman|여인
1719|woman|여인
1720|woman|여인
1721|woman|여인
1722|woman|여인
1723|woman|여인
1724|woman|여인
1725|woman|여인
1726|woman|여인
1727|woman|여인
1728|cat|고양이
1729|cat|고양이
1730|cat|고양이
1731|cat|고양이
1732|silver tablet|은판
1733|silver fragment|은조각
1734|farmer|농부
1735|farmer|농부
1736|musician|음악가
1737|musician|음악가
1738|musician|음악가
1739|musician|음악가
1740|musician|음악가
1741|musician|음악가
1742|musician|음악가
1743|musician|음악가
1744|shrine|성지
1745|Britannian Lens|브리타니아 렌즈
1746|broken lens|깨진 렌즈
1747|Gargoyle Lens|가고일 렌즈
1748|Statue of Mondain|몬데인 조각상
1749|Statue of Minax|미낙스 조각상
1750|Statue of Exodus|엑소더스 조각상
1751|part of a map|지도 조각
1752|part of a map|지도 조각
1753|part of a map|지도 조각
1754|part of a map|지도 조각
1755|part of a map|지도 조각
1756|part of a map|지도 조각
1757|part of a map|지도 조각
1758|part of a map|지도 조각
1759|part of a map|지도 조각
1760|Lord British|로드 브리티시
1761|Lord British|로드 브리티시
1762|Lord British|로드 브리티시
1763|Lord British|로드 브리티시
1764|Lord British|로드 브리티시
1765|Lord British|로드 브리티시
1766|Lord British|로드 브리티시
1767|Lord British|로드 브리티시
1768|Lord British|로드 브리티시
1769|Lord British|로드 브리티시
1770|Lord British|로드 브리티시
1771|Lord British|로드 브리티시
1772|Lord British|로드 브리티시
1773|Lord British|로드 브리티시
1774|Lord British|로드 브리티시
1775|Lord British|로드 브리티시
1776|Avatar|아바타
1777|Avatar|아바타
1778|Avatar|아바타
1779|Avatar|아바타
1780|Avatar|아바타
1781|Avatar|아바타
1782|Avatar|아바타
1783|Avatar|아바타
1784|Avatar|아바타
1785|Avatar|아바타
1786|Avatar|아바타
1787|Avatar|아바타
1788|Avatar|아바타
1789|Avatar|아바타
1790|Avatar|아바타
1791|Avatar|아바타
1792|dragon|드래곤
1793|dragon|드래곤
1794|dragon|드래곤
1795|dragon|드래곤
1796|dragon|드래곤
1797|dragon|드래곤
1798|dragon|드래곤
1799|dragon|드래곤
1800|dragon|드래곤
1801|dragon|드래곤
1802|dragon|드래곤
1803|dragon|드래곤
1804|dragon|드래곤
1805|dragon|드래곤
1806|dragon|드래곤
1807|dragon|드래곤
1808|dragon|드래곤
1809|dragon|드래곤
1810|dragon|드래곤
1811|dragon|드래곤
1812|dragon|드래곤
1813|dragon|드래곤
1814|dragon|드래곤
1815|dragon|드래곤
1816|dragon|드래곤
1817|dragon|드래곤
1818|dragon|드래곤
1819|dragon|드래곤
1820|dragon|드래곤
1821|dragon|드래곤
1822|dragon|드래곤
1823|dragon|드래곤
1824|dragon|드래곤
1825|dragon|드래곤
1826|dragon|드래곤
1827|dragon|드래곤
1828|dragon|드래곤
1829|dragon|드래곤
1830|dragon|드래곤
1831|dragon|드래곤
1832|ship|배
1833|ship|배
1834|ship|배
1835|ship|배
1836|ship|배
1837|ship|배
1838|ship|배
1839|ship|배
1840|ship|배
1841|ship|배
1842|ship|배
1843|ship|배
1844|ship|배
1845|ship|배
1846|ship|배
1847|ship|배
1848|ship|배
1849|ship|배
1850|ship|배
1851|ship|배
1852|ship|배
1853|ship|배
1854|ship|배
1855|ship|배
1856|silver serpent|은뱀
1857|silver serpent|은뱀
1858|silver serpent|은뱀
1859|silver serpent|은뱀
1860|silver serpent|은뱀
1861|silver serpent|은뱀
1862|silver serpent|은뱀
1863|silver serpent|은뱀
1864|silver serpent|은뱀
1865|silver serpent|은뱀
1866|silver serpent|은뱀
1867|silver serpent|은뱀
1868|silver serpent|은뱀
1869|silver serpent|은뱀
1870|silver serpent|은뱀
1871|silver serpent|은뱀
1872|skiff|작은 배
1873|skiff|작은 배
1874|skiff|작은 배
1875|skiff|작은 배
1876|raft|뗏목
1877|nothing|아무것도 없음
1878|dragon egg|드래곤 알
1879|hatched dragon egg|부화한 드래곤 알
1880|pull chain|당기는 사슬
1881|balloon|기구
1882|mammoth silk bag|매머드 비단 주머니
1883|balloon basket|기구 바구니
1884|balloon|기구
1885|balloon|기구
1886|balloon|기구
1887|balloon|기구
1888|cyclops|사이클롭스
1889|cyclops|사이클롭스
1890|cyclops|사이클롭스
1891|cyclops|사이클롭스
1892|cyclops|사이클롭스
1893|cyclops|사이클롭스
1894|cyclops|사이클롭스
1895|cyclops|사이클롭스
1896|cyclops|사이클롭스
1897|cyclops|사이클롭스
1898|cyclops|사이클롭스
1899|cyclops|사이클롭스
1900|cyclops|사이클롭스
1901|cyclops|사이클롭스
1902|cyclops|사이클롭스
1903|cyclops|사이클롭스
1904|cyclops|사이클롭스
1905|cyclops|사이클롭스
1906|cyclops|사이클롭스
1907|cyclops|사이클롭스
1908|cyclops|사이클롭스
1909|cyclops|사이클롭스
1910|cyclops|사이클롭스
1911|cyclops|사이클롭스
1912|cyclops|사이클롭스
1913|cyclops|사이클롭스
1914|cyclops|사이클롭스
1915|cyclops|사이클롭스
1916|cyclops|사이클롭스
1917|cyclops|사이클롭스
1918|cyclops|사이클롭스
1919|cyclops|사이클롭스
1920|hydra|히드라
1921|hydra|히드라
1922|hydra|히드라
1923|hydra|히드라
1924|hydra|히드라
1925|hydra|히드라
1926|hydra|히드라
1927|hydra|히드라
1928|hydra|히드라
1929|hydra|히드라
1930|hydra|히드라
1931|hydra|히드라
1932|hydra|히드라
1933|hydra|히드라
1934|hydra|히드라
1935|hydra|히드라
1936|hydra|히드라
1937|hydra|히드라
1938|hydra|히드라
1939|hydra|히드라
1940|hydra|히드라
1941|hydra|히드라
1942|hydra|히드라
1943|hydra|히드라
1944|hydra|히드라
1945|hydra|히드라
1946|hydra|히드라
1947|hydra|히드라
1948|hydra|히드라
1949|hydra|히드라
1950|hydra|히드라
1951|hydra|히드라
1952|giant scorpion|거대 전갈
1953|giant scorpion|거대 전갈
1954|giant scorpion|거대 전갈
1955|giant scorpion|거대 전갈
1956|giant scorpion|거대 전갈
1957|giant scorpion|거대 전갈
1958|giant scorpion|거대 전갈
1959|giant scorpion|거대 전갈
1960|giant scorpion|거대 전갈
1961|giant scorpion|거대 전갈
1962|giant scorpion|거대 전갈
1963|giant scorpion|거대 전갈
1964|giant scorpion|거대 전갈
1965|giant scorpion|거대 전갈
1966|giant scorpion|거대 전갈
1967|giant scorpion|거대 전갈
1968|giant ant|거대 개미
1969|giant ant|거대 개미
1970|giant ant|거대 개미
1971|giant ant|거대 개미
1972|giant ant|거대 개미
1973|giant ant|거대 개미
1974|giant ant|거대 개미
1975|giant ant|거대 개미
1976|giant ant|거대 개미
1977|giant ant|거대 개미
1978|giant ant|거대 개미
1979|giant ant|거대 개미
1980|giant ant|거대 개미
1981|giant ant|거대 개미
1982|giant ant|거대 개미
1983|giant ant|거대 개미
1984|cow|소
1985|cow|소
1986|cow|소
1987|cow|소
1988|cow|소
1989|cow|소
1990|cow|소
1991|cow|소
1992|cow|소
1993|cow|소
1994|cow|소
1995|cow|소
1996|cow|소
1997|cow|소
1998|cow|소
1999|cow|소
2000|alligator|악어
2001|alligator|악어
2002|alligator|악어
2003|alligator|악어
2004|alligator|악어
2005|alligator|악어
2006|alligator|악어
2007|alligator|악어
2008|alligator|악어
2009|alligator|악어
2010|alligator|악어
2011|alligator|악어
2012|alligator|악어
2013|alligator|악어
2014|alligator|악어
2015|alligator|악어
2016|horse|말
2017|horse|말
2018|horse|말
2019|horse|말
2020|horse|말
2021|horse|말
2022|horse|말
2023|horse|말
2024|horse|말
2025|horse|말
2026|horse|말
2027|horse|말
2028|horse|말
2029|horse|말
2030|horse|말
2031|horse|말
2032|horse with rider|기수가 탄 말
2033|horse|말
2034|horse|말
2035|horse|말
2036|horse|말
2037|horse|말
2038|horse with rider|기수가 탄 말
2039|Nothing|아무것도 없음
2040|Nothing|아무것도 없음
2041|Nothing|아무것도 없음
2042|Nothing|아무것도 없음
2043|Nothing|아무것도 없음
2044|Nothing|아무것도 없음
2045|Nothing|아무것도 없음
2046|Nothing|아무것도 없음
2047|Nothing|아무것도 없음
2048|2-Hnd Sword|양손 검

# Special item name mappings for conversation system (no tile index)
# Format: DUMMY_INDEX|ENGLISH|KOREAN (index is not used for these)
9000|thread|실
9001|Bread|빵

# Reagent names (used in shop DATA tables)
577|Blood Moss|피 이끼
578|Garlic|마늘
579|Ginseng|인삼
580|Mandrake Root|만드레이크 뿌리
581|Nightshade|독버섯
582|Spider Silk|거미줄
583|Sulfurous Ash|유황재
584|Black Pearl|흑진주

# Spell names (used in magic shop DATA tables)
# Circle 1
9100|Create Food|식량 생성
9101|Detect Magic|마법 감지
9102|Detect Trap|함정 감지
9103|Dispel Magic|마법 해제
9104|Douse|불 끄기
9105|Harm|해침
9106|Heal|치유
9107|Help|도움
9108|Ignite|점화
9109|Light|빛
# Circle 2
9110|Infravision|열 감지
9111|Magic Arrow|마법 화살
9112|Poison|독
9113|Reappear|재출현
9114|Sleep|수면
9115|Telekinesis|염력
9116|Trap|함정
9117|Unlock Magic|잠금 해제
9118|Untrap|함정 해제
9119|Vanish|소멸
# Circle 3
9120|Curse|저주
9121|Dispel Field|장막 해제
9122|Fireball|화염구
9123|Great Light|대광명
9124|Lock|잠금
9125|Mass Awaken|대량 각성
9126|Mass Sleep|대량 수면
9127|Peer|원시
9128|Protection|보호
9129|Repel Undead|언데드 퇴치
# Circle 4
9130|Animate|생명 주입
9131|Conjure|강령
9132|Disable|무력화
9133|Fire Field|화염 장막
9134|Great Heal|대치유
9135|Locate|위치 파악
9136|Mass Dispel|대량 해제
9137|Poison Field|독 장막
9138|Sleep Field|수면 장막
9139|Wind Change|바람 변경
# Circle 5
9140|Energy Field|에너지 장막
9141|Explosion|폭발
9142|Insect Swarm|곤충 떼
9143|Invisibility|투명
9144|Lightning|번개
9145|Paralyze|마비
9146|Pickpocket|소매치기
9147|Reveal|발견
9148|Seance|강령술
9149|X-ray|투시
# Circle 6
9150|Charm|매혹
9151|Clone|분신
9152|Confuse|혼란
9153|Flame Wind|화염 바람
9154|Hail Storm|우박 폭풍
9155|Mass Protect|대량 보호
9156|Negate Magic|마법 무효화
9157|Poison Wind|독 바람
9158|Replicate|복제
9159|Web|거미줄
# Circle 7
9160|Chain Bolt|연쇄 번개
9161|Enchant|마법 부여
9162|Energy Wind|에너지 바람
9163|Fear|공포
9164|Gate Travel|관문 이동
9165|Kill|죽음
9166|Mass Curse|대량 저주
9167|Mass Invis|대량 투명
9168|Wing Strike|날개 공격
9169|Wizard Eye|마법사의 눈
# Circle 8
9170|Armageddon|아마겟돈
9171|Death Wind|죽음의 바람
9172|Eclipse|일식
9173|Mass Charm|대량 매혹
9174|Mass Kill|대량 살상
9175|Resurrect|부활
9176|Slime|슬라임
9177|Summon|소환
9178|Time Stop|시간 정지
9179|Tremor|진동
# Max shop items (NPC 18)
heater shield|히터 실드
leather armour|가죽 갑옷
